Job (Long),AD,Email,ShoreTel,Cell,Fax,Desktop,Laptop,List of Members
Associate General Counsel,x,x,x,x,x,"[""MBR"", ""GoogleApps_Legal_LegalHold"", ""Dream Team"", ""Regulatory Bulletin"", ""Store-Sourcing Dairy - Dairy Projects RW"", ""Goals Training Sessions"", ""CRF"", ""Store-Projects Legal aambrosi RW"", ""Store-Training Private RW"", ""Store-Culinary"", ""Team Grande"", ""Store-Accounting Amys DriveThru RW"", ""Store-Training Packaging Specs RW"", ""Store-Manufacturing Documents Pocatello RW"", ""Store-Facilities"", ""Store-Consumer Relations"", ""Store-Safety Pocatello Private Safety Coordinator RW"", ""Store-Legal OGC"", ""Store-Training Coach Project Working Folder RW"", ""Store-Human Resources Unpaid Hours 2015 RW"", ""Store-Accounting Private DB_Corp Fin Budget RW"", ""Store-Accounting AFS Aging RW"", ""Store-Manufacturing Documents SR Kitchen RW"", ""Store-Production Medford Private"", ""Store-Training Training Dashboard"", ""Store-Projects HR Carme and Pamela RW"", ""Store-Transportaion Private Read Only"", ""Store-Production Medford Staffing Schedule RW"", ""Store-Accounting Private AP Confidential Vendor Forms RW"", ""Store-Projects New Products RW"", ""Store-Human Resources SR 401k RW"", ""Store-Training Temp Onboarding RW"", ""Store-Manufacturing Documents SR Kitchen EVisual RW"", ""Store-Manufacturing-SR-Daily Operations Meeting"", ""Store-Production SR Sustainability RW"", ""Store-Executive Operations RW"", ""Store-Purchasing Shared with Planning RW"", ""Store-Manufacturing Documents SR Kitchen Rept Kitchen Tech RW"", ""Store-Projects TS Lab Results RW"", ""Store-Marketing Brand Assets RW"", ""Store-Projects Equipment Project for FM Reduction RW"", ""Store-Manufacturing Docs Corp Financial Reports"", ""Store-Accounting AC Analysis Month End Payroll Related Recons RW"", ""Store-Marketing Product Images & Packaging RW"", ""Store-Safety SR RW"", ""Store-Human Resources Presentations"", ""Store-Consumer Relations RW"", ""Store-Planning Materials Forecast RW"", ""Store-Manufacturing Documents SR Kitchen Rept Gemba RW"", ""Store-Manufacturing Santa Rosa"", ""Store-Planning Materials Forecast Printed Film RW"", ""Store-QA Vendor Forms Archive Read Only"", ""Store-QA Vendor Forms Archive R-W"", ""Store-Training Alchemy Upload"", ""Concur Users"", ""Store-Safety Medford Refrigeration SOP Project RW"", ""Store-Engineering Alfresco Eng_Alfresco_Auto_SR RW"", ""Store-Manufacturing Documents Medford RW"", ""Store-Safety SR Forklift Master Inspection RW"", ""Store-Projects Sourcing Dairy Packaging RW"", ""Store-Safety Medford Parking Program RW"", ""Store-Security Department Reports"", ""Store-Projects HIPAA RW"", ""Store-Customer Service RA_OS&D Forms RW"", ""Store-Projects Cost of Quality RW"", ""Store-Sanitation San Admin RW"", ""Store-Production Medford Canning RW"", ""Store-Safety SR-Non-HMBP"", ""Store-Projects Giving"", ""Store-Accounting"", ""Store-Production"", ""Store-Training"", ""Store-QA Vendor Forms Document Maint R-W"", ""Store-Technical Services"", ""Store-QA Frozen Holds Medford"", ""Store-QA"", ""Store-Projects Packaging Dev RW"", ""Store-Organic Agriculture Sample Approval Status Log - Write"", ""Store-Projects-Shutdown Training"", ""Store-Sensory"", ""Store-Projects RA Forms"", ""Store-Manufacturing Sutton"", ""Store-Production Manufacturing"", ""Store-Production Medford"", ""Store-Planning-Medford Delivery Schedule RW"", ""Store-QA Read"", ""Store-Payroll Private Inc"", ""Store-UK Technical Services"", ""Store-UK Safety"", ""Store-UK Project Management"", ""Store-UK Product Development"", ""Store-UK Manufacturing"", ""Store-UK Engineering"", ""Store-Production Supervisors"", ""Store-Production Operations"", ""Store-Production Kitchen"", ""Store-Production Medford Leftover Log"", ""Store-Payroll Private UK"", ""Store-Sales Private Packaging"", ""Store-Sales"", ""Store-Marketing"", ""Store-Projects Special Handling Project"", ""Store-Human Resources"", ""Store-Maintenance"", ""Store-Projects Internal Audit SR"", ""Store-Projects-Genesis"", ""Store-Warehouse"", ""Store-Payroll Private Processing"", ""Store-Payroll"", ""Store-Accounting Bank EFT-Wells Fargo R-W"", ""Store-Projects Accounts Receivable UK"", ""Store-Accounting Private Accounts Receivables"", ""Store-Projects Price Lists RO"", ""Store-Accounting Scanning"", ""Store-Projects MadelainesBackup"", ""Store-Projects Packaging Dev RO"", ""Store-Executive MBR Presentations RW"", ""Store-Safety"", ""Store-Production Private Medford Canning"", ""Store-UK Quality Assurance"", ""Store-UK Manufacturing QA Food Safety Sensory R-W"", ""Store-SecurityGuards"", ""Store-Database Punch Detail RO"", ""Store-Office Admin"", ""Store-Training EBS"", ""Store-QA Private Specs Read Only"", ""Store-Outside Sales"", ""Store-Sales Mailing List Database RW"", ""Store-Accounting MCB Approvals RW"", ""Store-QA Can Med Hold Summaries"", ""Store-Organic Agriculture"", ""Store-Projects 3000 Dutton R-W"", ""Store-Sourcing"", ""Store-QA Share with Purchasing RW"", ""Store-Projects Tech Services RW"", ""Store-Purchasing Vendor Book Doc RW"", ""Store-Manufacturing KPIs"", ""Store-UK Finance"", ""Store-UK Human Resources"", ""Store-UK Human Resources Private Management"", ""Store-UK Human Resources Private Manufacturing"", ""Store-UK Office Administration"", ""Store-UK Order Management"", ""Store-UK Sales and Marketing"", ""Store-UK Supply Chain Management"", ""Store-Planning"", ""Store-UK SOP"", ""Store-Projects Raw Material Improvement"", ""Store-Projects Scanning"", ""Store-QA Compliments"", ""Store-QA Techs Northpoint"", ""Store-Traffic"", ""Store-Projects Cost Reduction RW"", ""Store-Projects-Office Expansion Read Only"", ""Store-Warehouse Medford Transporation Schedule"", ""Store-QA Techs Medford"", ""Store-Inventory Control"", ""Store-New Products Write"", ""Store-Projects Santitation SOPs SR"", ""Store-Sanitation"", ""Store-Logistics SAS Report RW"", ""Store-Logistics International Confidential"", ""Store-QA Raw Materials Share w-Tech Services"", ""Store-Purchasing Shared with Technical Services"", ""Store-Warehouse Private Personnel"", ""Store-QA Medford Sample Log RW"", ""Store-Maintenance Medford"", ""Store-Accounting Image Onsite"", ""Store-Accounting Payroll Files"", ""Store-Accounting Payroll Processing"", ""Store-Accounting Private Payroll UK"", ""Store-Database Punch Detail RW"", ""Store-Production Medford Production Roster"", ""Store-Accounting AC Analysis"", ""Store-Manufacturing Documents Corporate RW"", ""Store-Warehouse Logistics"", ""Store-Projects-erp"", ""Store-Projects Sales"", ""Store-Production Planning"", ""Store-Accounting Financials"", ""Store-Image Silo"", ""Store-Accounting Deposit"", ""Store-Logistics"", ""Store-Engineering Projects"", ""Restricted Email-Staff All Amy's"", ""Staff-Petaluma"", ""Store-Sales Cust Inf Forms & Vend Docs Vend Doc TJs forms RW"", ""Store-Executive"", ""Store-Potato Team"", ""Store-Projects Tech Services RO"", ""Store-QA Raw Materials"", ""Store-Category Management"", ""Store-Transportation"", ""Store-Planning EU R-W"", ""Store-Organic Agriculture Share with Purchasing"", ""Store-Research and Development"", ""Store-XenApp-Engineering"", ""Store-Manufacturing SRVid1"", ""Store-QA Customer Returns"", ""Store-Accounting Bank EFT-Wells Fargo-Approved Read Only"", ""Store-Bank Reconciliations"", ""Store-Database Financials"", ""Store-Projects MadelainesBackupRO"", ""Store-QA Private Specs"", ""Store-Warehouse Private Warehouse Management"", ""Store-Projects ETL RW"", ""Store-Safety Medford"", ""Store-IT Manager"", ""Store-Projects Oracle Upgrade"", ""Store-Projects-APP Project Planning"", ""Store-Production Private"", ""Store-Projects Process Improvement RW"", ""Store-Planning R-W"", ""Store-Database Tops Pro"", ""Store-Sales Private Read"", ""Store-QA Sensory"", ""Store-Database Maintance Log"", ""Store-Database Bassys"", ""Store-Accounting Broker Commissions RW"", ""Store-Projects Price Lists"", ""Store-Accounting AP Checks RW"", ""Store-VideoConference"", ""Store-QA Product Check Sheets-Assembly RW"", ""Store-QA Weight Tables"", ""Store-Goldmine Users"", ""Store-Database Confined Space"", ""Store-Manufacturing Walk the Talk"", ""Store-Accounting Bank EFT-Wells Fargo-Approved R-W"", ""Store-UK Human Resources - Write"", ""Store-Sales Private Pricing"", ""Store-Planning Production Schedule"", ""Store-Database  Production"", ""Store-Warehouse Master Transportation Read"", ""Store-Technical Services Microbiological Issues"", ""Store-Purchasing Procedures RW"", ""Store-Projects-Office Expansion RW"", ""Store-Manufacturing Documents"", ""Store-Manufacturing Docs Santa Rosa Sanitation"", ""Store-Projects Andy K-Ranch RW"", ""Store-Database"", ""Store-Customer Service-Amys To Arrange Medford"", ""Store-Inventory Control MO Metrics"", ""Store-Human Resources 20th Anniv Pix"", ""Store-Manufacturing Kitchen Data Master Sheets - RW"", ""Store-Sales Outside"", ""Store-Projects Scanning -Read Only"", ""Store-Planning-Medford Assembly Schedule RW"", ""Store-Outside Sales NCGA Project"", ""Store-ACCPACC"", ""Store-Oracle Consultants"", ""Store-QA Material Issue Tracker RW"", ""Store-Planning Capacity Plan"", ""Store-Projects Andy K-Ranch Read Only!"", ""Store-Customer Service"", ""Store-Information Services"", ""Store-Warehouse SpiceRoom"", ""Store-Engineering"", ""Store-Organic Agriculture Logistics Write"", ""Store-Sales General Publications"", ""Store-Manufacturing Assembly Forms AS"", ""Store-Consultant""]"
Associate Marketing Manager,x,x,x,x, ,[]
Associate Project Manager,x,x,x,x, ,"[""Smartsheet_Licensed"", ""Alfresco-Marketing"", ""GoogleAppsEA"", ""Concur Users"", ""Store-Sales"", ""Store-Marketing"", ""Staff-Petaluma"", ""salesdocsEditor"", ""Information-Services-Dept-Group""]"
Asst Team Lead Prep,x,x, , , ,[]
Astute Solutions Consultant,x,x,x, , ,[]
Australian Account Executive,x,x, , , ,"[""Marketing Consultants"", ""GoogleAppsEA"", ""ADC-ENG PKG Specs Notify"", ""Packaging Specification Notification"", ""Outside Sales"", ""Staff-Remote""]"
Automation Group Consultant,x,x, , , ,"[""Ignition Admins"", ""IT Consultants"", ""IS Developers""]"
BI Install Project,x, , , , ,"[""Store-Information Services""]"
Benefits Mailbox for HR to use to send communications,x,x, , , ,"[""GoogleAppsEA"", ""Restricted Email-Staff All Amy's""]"
Blancher Operator,x,x, , , ,[]
